timestamp,ear,mar,fatigue_score,blink_rate,status,speed_sim
2025-11-11 08:53:41,0.3024744033324042,0.46777778464978176,13,0,Normal,60.0
2025-11-11 08:53:42,0.31267818537956305,0.463999431447408,12,0,Normal,59.623293772620414
2025-11-11 08:53:43,0.3104631791351418,0.4672883983195829,13,0,Normal,61.31458887058122
2025-11-11 08:53:44,0.3094952371754408,0.7853923396629346,30,0,Yawning (Fatigue),61.54869511660902
2025-11-11 08:53:45,0.3006837286815084,0.9491336128542848,30,0,Yawning (Fatigue),61.64005222089602
2025-11-11 08:53:46,0.290647425467581,0.9560954982044123,30,0,Yawning (Fatigue),59.9137606137516
2025-11-11 08:53:47,0.2833900749557806,0.5571782986007255,18,0,Normal,55.77156813856078
2025-11-11 08:53:49,0.10689788057313757,0.46060325131089924,60,0,Normal,52.97395505111062
2025-11-11 08:53:50,0.05708206066737028,0.4521435917644288,62,0,Normal,52.31390384844729
2025-11-11 08:53:51,0.06272426015060126,0.4468211948581652,61,0,Eyes Closed (Warning),52.49399534260164
2025-11-11 08:53:52,0.0672038519863484,0.45452573012636366,62,0,Eyes Closed (Warning),54.078862361250735
2025-11-11 08:53:54,0.09384208157890508,0.456862110143868,62,1,Eyes Closed (Warning),56.47114739616239
2025-11-11 08:53:55,0.29689067574368655,0.45995064244708866,12,1,Normal,57.018204338616414
2025-11-11 08:53:57,0.31575562285686376,0.4584077020542918,12,1,Normal,57.189484541110346
2025-11-11 08:53:58,0.31354968605729117,0.45661971476140895,12,1,Normal,60.083398423391166
2025-11-11 08:53:59,0.2840814057230653,0.45476278227096245,12,2,Normal,60.083398423391166
2025-11-11 08:54:00,0.2908389699809589,0.45573932011590246,12,2,Normal,61.283965515540714
2025-11-11 08:54:01,0.27022870412833094,0.4576709516820596,12,2,Normal,59.52805534443611
2025-11-11 08:54:02,0.28869483102589066,0.683870618935641,26,2,Yawning (Fatigue),59.16205931141482
2025-11-11 08:54:03,0.2927885881925394,0.955152978745228,30,2,Yawning (Fatigue),61.90001357399697
2025-11-11 08:54:04,0.2673132573189466,0.9836001376667001,30,2,Yawning (Fatigue),62.92331204052921
2025-11-11 08:54:05,0.2511828367574337,0.9581057664614565,30,2,Yawning (Fatigue),58.374673454611845
2025-11-11 08:54:06,0.25596901703432273,0.9456505865320596,30,2,Yawning (Fatigue),56.73468592235082
2025-11-11 08:54:07,0.2635146710695547,0.548308730921145,17,2,Normal,56.76871813345793
2025-11-11 08:54:08,0.26167669585949926,0.4812414117633807,13,2,Normal,57.980844130403376
2025-11-11 08:54:09,0.26406094176639716,0.4894422211529954,14,2,Normal,59.0979772249892
2025-11-11 08:54:10,0.26465073865373545,0.49096428114627094,14,2,Normal,62.05542826027625
2025-11-11 08:54:11,0.21820980132601905,0.4875917859573947,24,2,Normal,60.6689305860623
2025-11-11 08:54:12,0.06849834257988793,0.4873677933674411,64,2,Normal,57.98017608399552
2025-11-11 08:54:13,0.05133918604507739,0.4793958489615092,63,2,Eyes Closed (Warning),57.274459848312425
2025-11-11 08:54:14,0.050572388590205145,0.4797423303759237,63,2,Eyes Closed (Warning),62.00218998571729
2025-11-11 08:54:15,0.050377751427304975,0.4822720247827368,63,2,Eyes Closed (Warning),60.005344198341994
2025-11-11 08:54:20,0.09536343838624053,0.4804706607035708,63,2,Eyes Closed (Warning),58.18989575139474
2025-11-11 08:54:21,0.2726246835087278,0.4680857815443987,13,2,Normal,57.05522668600842
2025-11-11 08:54:22,0.2898497461752934,0.4664116926135119,12,2,Normal,56.21632339010904
2025-11-11 08:54:23,0.3740485263420482,0.46419306937254845,12,2,Normal,55.755889672670925
2025-11-11 08:54:24,0.3536295582521745,0.46970183311299607,13,2,Normal,54.443845578696695
2025-11-11 08:54:25,0.3046980451506605,0.4717596581442665,13,3,Normal,51.50216489900218
2025-11-11 08:54:26,0.2894918225154619,0.4721953911745339,13,3,Normal,53.93947433743755
2025-11-11 08:54:27,0.2720775591398317,0.46234271243964314,12,3,Normal,55.816933181683055
2025-11-11 08:54:28,0.27633723044571645,0.4605791650649388,12,3,Normal,54.741212433317315
